iter	RMSE
0	14.14522824
1	13.36899529
2	12.68852399
3	11.99834794
4	11.42648001
5	10.87196111
6	10.4216325
7	9.939092041
8	9.53453716
9	9.124892438
10	8.819588196
11	8.516574859
12	8.217364689
13	7.977075551
14	7.750156635
15	7.570922032
16	7.394449967
17	7.217944252
18	7.06406552
19	6.922069841
20	6.794695098
21	6.688838881
22	6.594681291
23	6.492701396
24	6.395911952
25	6.316254063
26	6.253731974
27	6.192621935
28	6.132570051
29	6.078204866
30	6.022393462
31	5.975750116
32	5.935737001
33	5.894267675
34	5.863525006
35	5.833461311
36	5.806880349
37	5.779186938
38	5.752000272
39	5.719092953
40	5.699603448
41	5.664772458
42	5.6361013
43	5.616379828
44	5.595269287
45	5.573092183
46	5.556935857
47	5.54241329
48	5.52043011
49	5.505250587
50	5.48553808
51	5.478474271
52	5.467753795
53	5.454266758
54	5.439733134
55	5.429076645
56	5.422353998
57	5.408016399
58	5.401457932
59	5.392713443
60	5.382189907
61	5.372367709
62	5.367782487
63	5.357320113
64	5.348630505
65	5.342690787
66	5.337130871
67	5.333289715
68	5.322698787
69	5.319060587
70	5.31500939
71	5.308281178
72	5.301244193
73	5.296449558
74	5.29053382
75	5.284581632
76	5.280420773
77	5.276112949
78	5.272546472
79	5.268846318
80	5.265319584
81	5.261823856
82	5.258298819
83	5.249217612
84	5.245746384
85	5.232483579
86	5.227206554
87	5.222898802
88	5.218130945
89	5.215335035
90	5.21138734
91	5.209041943
92	5.205857484
93	5.203748577
94	5.201842679
95	5.194551364
96	5.192112764
97	5.188650623
98	5.185766514
99	5.183620529
100	5.179251297
101	5.177280461
102	5.174274129
103	5.17308779
104	5.170215401
105	5.164633801
106	5.155982263
107	5.152322805
108	5.148479406
109	5.144432975
110	5.13461152
111	5.13074809
112	5.128690229
113	5.122875276
114	5.118707876
115	5.116059497
116	5.113179233
117	5.107007636
118	5.105892993
119	5.095560764
120	5.093453474
121	5.084513884
122	5.08358276
123	5.07587586
124	5.07084946
125	5.067511837
126	5.066022843
127	5.060824716
128	5.05475248
129	5.051095235
130	5.046866354
131	5.043615564
132	5.039021813
133	5.034155401
134	5.029044854
135	5.028018605
136	5.020909614
137	5.014844275
138	5.011811275
139	5.008275014
140	5.00649473
141	5.004864932
142	5.003149801
143	5.001197978
144	4.998545236
145	4.993574147
146	4.991212536
147	4.987191634
148	4.981448106
149	4.979991472
150	4.973961941
151	4.971023173
152	4.967152612
153	4.9640429
154	4.956733302
155	4.955226132
156	4.951609808
157	4.95037858
158	4.948835933
159	4.945703431
160	4.940951717
161	4.937035953
162	4.933225901
163	4.93162427
164	4.928848386
165	4.922740533
166	4.918765257
167	4.914454556
168	4.913900549
169	4.909551476
170	4.90509228
171	4.900895763
172	4.897525717
173	4.895847883
174	4.893181739
175	4.889119904
176	4.887060615
177	4.88492727
178	4.883066219
179	4.879361674
180	4.877933895
181	4.876318637
182	4.87338963
183	4.871591499
184	4.87021449
185	4.864685294
186	4.859846152
187	4.856656702
188	4.855159284
189	4.848274705
190	4.844918072
191	4.842510118
192	4.838915329
193	4.836310753
194	4.831925369
195	4.829619117
196	4.827840425
197	4.824759696
198	4.82416833
199	4.820138866
