iter	Passed	Remaining
0	0	17
1	0	16
2	0	16
3	0	16
4	0	16
5	0	15
6	0	15
7	0	15
8	0	15
9	0	15
10	0	15
11	0	15
12	1	15
13	1	15
14	1	14
15	1	14
16	1	14
17	1	14
18	1	14
19	1	14
20	1	14
21	1	14
22	1	14
23	1	14
24	1	13
25	2	13
26	2	13
27	2	13
28	2	13
29	2	13
30	2	13
31	2	13
32	2	13
33	2	13
34	2	13
35	2	12
36	2	12
37	3	12
38	3	12
39	3	12
40	3	12
41	3	12
42	3	12
43	3	12
44	3	12
45	3	12
46	3	12
47	3	11
48	3	11
49	3	11
50	4	11
51	4	11
52	4	11
53	4	11
54	4	11
55	4	11
56	4	11
57	4	11
58	4	11
59	4	10
60	4	10
61	4	10
62	4	10
63	5	10
64	5	10
65	5	10
66	5	10
67	5	10
68	5	10
69	5	10
70	5	10
71	5	10
72	5	9
73	5	9
74	5	9
75	5	9
76	6	9
77	6	9
78	6	9
79	6	9
80	6	9
81	6	9
82	6	9
83	6	9
84	6	8
85	6	8
86	6	8
87	6	8
88	6	8
89	6	8
90	7	8
91	7	8
92	7	8
93	7	8
94	7	8
95	7	8
96	7	7
97	7	7
98	7	7
99	7	7
100	7	7
101	7	7
102	7	7
103	8	7
104	8	7
105	8	7
106	8	7
107	8	7
108	8	7
109	8	6
110	8	6
111	8	6
112	8	6
113	8	6
114	8	6
115	8	6
116	8	6
117	9	6
118	9	6
119	9	6
120	9	6
121	9	5
122	9	5
123	9	5
124	9	5
125	9	5
126	9	5
127	9	5
128	9	5
129	9	5
130	10	5
131	10	5
132	10	5
133	10	5
134	10	4
135	10	4
136	10	4
137	10	4
138	10	4
139	10	4
140	10	4
141	10	4
142	10	4
143	11	4
144	11	4
145	11	4
146	11	4
147	11	4
148	11	3
149	11	3
150	11	3
151	11	3
152	11	3
153	11	3
154	11	3
155	12	3
156	12	3
157	12	3
158	12	3
159	12	3
160	12	2
161	12	2
162	12	2
163	12	2
164	12	2
165	12	2
166	12	2
167	12	2
168	12	2
169	13	2
170	13	2
171	13	2
172	13	2
173	13	1
174	13	1
175	13	1
176	13	1
177	13	1
178	13	1
179	13	1
180	13	1
181	13	1
182	14	1
183	14	1
184	14	1
185	14	1
186	14	0
187	14	0
188	14	0
189	14	0
190	14	0
191	14	0
192	14	0
193	14	0
194	14	0
195	15	0
196	15	0
197	15	0
198	15	0
199	15	0
