iter	Passed	Remaining
0	0	267
1	0	229
2	0	220
3	0	219
4	1	214
5	1	211
6	1	207
7	1	207
8	1	204
9	2	206
10	2	206
11	2	204
12	2	204
13	2	202
14	3	200
15	3	200
16	3	200
17	3	198
18	3	198
19	4	197
20	4	195
21	4	195
22	4	193
23	4	193
24	4	192
25	5	192
26	5	191
27	5	190
28	5	193
29	5	193
30	6	192
31	6	191
32	6	191
33	6	190
34	6	190
35	7	189
36	7	189
37	7	191
38	7	194
39	8	194
40	8	194
41	8	193
42	8	194
43	9	198
44	9	198
45	9	198
46	9	199
47	10	199
48	10	199
49	10	199
50	10	199
51	11	200
52	11	200
53	11	207
54	12	208
55	12	207
56	12	207
57	12	206
58	12	205
59	13	204
60	13	204
61	13	203
62	13	203
63	13	202
64	14	202
65	14	201
66	14	200
67	14	200
68	14	199
69	14	199
70	15	198
71	15	197
72	15	197
73	15	196
74	15	195
75	16	195
76	16	195
77	16	194
78	16	194
79	16	194
80	17	193
81	17	193
82	17	191
83	17	191
84	17	191
85	17	190
86	18	190
87	18	190
88	18	190
89	18	190
90	19	189
91	19	189
92	19	189
93	19	189
94	19	189
95	20	188
96	20	188
97	20	188
98	20	188
99	20	188
100	21	188
101	21	188
102	21	188
103	21	188
104	22	187
105	22	187
106	22	187
107	22	187
108	22	187
109	23	187
110	23	187
111	23	187
112	23	187
113	24	187
114	24	188
115	24	188
116	24	187
117	25	187
118	25	187
119	25	187
120	25	187
121	26	187
122	26	187
123	26	187
124	26	187
125	27	187
126	27	187
127	27	187
128	27	187
129	28	187
130	28	188
131	28	187
132	28	187
133	29	187
134	29	187
135	29	187
136	29	187
137	29	186
138	30	186
139	30	186
140	30	185
141	30	184
142	30	184
143	31	184
144	31	184
145	31	183
146	31	183
147	31	183
148	32	182
149	32	182
150	32	182
151	32	182
152	32	181
153	33	181
154	33	181
155	33	181
156	33	180
157	33	180
158	34	180
159	34	180
160	34	179
161	34	179
162	34	178
163	35	178
164	35	178
165	35	177
166	35	177
167	35	177
168	35	176
169	36	176
170	36	176
171	36	176
172	36	175
173	36	175
174	37	175
175	37	175
176	37	175
177	37	174
178	38	174
179	38	174
180	38	173
181	38	173
182	38	173
183	39	172
184	39	172
185	39	172
186	39	172
187	39	171
188	39	171
189	40	171
190	40	170
191	40	170
192	40	170
193	41	170
194	41	170
195	41	170
196	41	170
197	41	169
198	42	169
199	42	169
200	42	169
201	42	169
202	43	169
203	43	169
204	43	168
205	43	168
206	43	168
207	44	168
208	44	168
209	44	167
210	44	167
211	45	167
212	45	167
213	45	166
214	45	166
215	45	166
216	46	166
217	46	165
218	46	165
219	46	165
220	46	165
221	47	164
222	47	164
223	47	164
224	47	164
225	47	163
226	48	163
227	48	163
228	48	163
229	48	163
230	49	163
231	49	163
232	49	163
233	49	162
234	49	162
235	50	162
236	50	162
237	50	161
238	50	161
239	50	161
240	51	161
241	51	160
242	51	160
243	51	160
244	51	160
245	52	159
246	52	159
247	52	159
248	52	158
249	52	158
250	53	158
251	53	158
252	53	157
253	53	157
254	53	157
255	54	157
256	54	156
257	54	156
258	54	156
259	55	156
260	55	156
261	55	156
262	55	155
263	55	155
264	55	155
265	56	155
266	56	154
267	56	154
268	56	154
269	57	154
270	57	154
271	57	153
272	57	153
273	57	153
274	58	152
275	58	152
276	58	152
277	58	152
278	58	152
279	59	152
280	59	151
281	59	151
282	59	151
283	59	151
284	60	151
285	60	150
286	60	150
287	60	150
288	60	150
289	61	149
290	61	149
291	61	149
292	61	149
293	62	148
294	62	148
295	62	148
296	62	148
297	62	147
298	62	147
299	63	147
300	63	147
301	63	147
302	63	146
303	64	146
304	64	146
305	64	146
306	64	145
307	64	145
308	65	145
309	65	145
310	65	144
311	65	144
312	65	144
313	66	144
314	66	143
315	66	143
316	66	143
317	66	143
318	67	143
319	67	142
320	67	142
321	67	142
322	67	142
323	67	141
324	68	141
325	68	141
326	68	141
327	68	140
328	68	140
329	69	140
330	69	140
331	69	139
332	69	139
333	69	139
334	70	139
335	70	138
336	70	138
337	70	138
338	70	138
339	71	137
340	71	137
341	71	137
342	71	137
343	71	136
344	72	136
345	72	136
346	72	136
347	72	136
348	72	135
349	73	135
350	73	135
351	73	135
352	73	134
353	73	134
354	73	134
355	74	134
356	74	133
357	74	133
358	74	133
359	74	133
360	75	133
361	75	132
362	75	132
363	75	132
364	75	132
365	76	131
366	76	131
367	76	131
368	76	131
369	76	130
370	77	130
371	77	130
372	77	130
373	77	130
374	77	129
375	78	129
376	78	129
377	78	129
378	78	128
379	78	128
380	79	128
381	79	128
382	79	128
383	79	127
384	79	127
385	80	127
386	80	127
387	80	126
388	80	126
389	80	126
390	81	126
391	81	125
392	81	125
393	81	125
394	81	125
395	81	125
396	82	124
397	82	124
398	82	124
399	82	124
400	82	123
401	83	123
402	83	123
403	83	123
404	83	123
405	84	123
406	84	122
407	84	122
408	84	122
409	84	122
410	85	122
411	85	121
412	85	121
413	85	121
414	85	121
415	86	120
416	86	120
417	86	120
418	86	120
419	86	119
420	86	119
421	87	119
422	87	119
423	87	118
424	87	118
425	87	118
426	88	118
427	88	118
428	88	117
429	88	117
430	89	117
431	89	117
432	89	117
433	89	116
434	89	116
435	89	116
436	90	116
437	90	115
438	90	115
439	90	115
440	90	115
441	91	115
442	91	114
443	91	114
444	91	114
445	91	114
446	92	113
447	92	113
448	92	113
449	92	113
450	93	113
451	93	113
452	93	112
453	93	112
454	93	112
455	94	112
456	94	111
457	94	111
458	94	111
459	94	111
460	95	111
461	95	110
462	95	110
463	95	110
464	95	110
465	95	109
466	96	109
467	96	109
468	96	109
469	96	109
470	96	108
471	97	108
472	97	108
473	97	108
474	97	107
475	97	107
476	97	107
477	98	107
478	99	107
479	99	107
480	99	107
481	99	107
482	99	106
483	100	106
484	100	106
485	100	106
486	100	106
487	100	105
488	101	105
489	101	105
490	101	105
491	101	104
492	101	104
493	102	104
494	102	104
495	102	104
496	102	103
497	102	103
498	102	103
499	103	103
500	103	102
501	103	102
502	103	102
503	104	102
504	104	102
505	104	101
506	104	101
507	104	101
508	105	101
509	105	101
510	105	101
511	105	100
512	106	100
513	106	100
514	106	100
515	106	99
516	106	99
517	107	99
518	107	99
519	107	99
520	107	98
521	107	98
522	108	98
523	108	98
524	108	98
525	108	97
526	108	97
527	108	97
528	109	97
529	109	97
530	109	96
531	109	96
532	110	96
533	110	96
534	110	96
535	110	95
536	110	95
537	111	95
538	111	95
539	111	94
540	111	94
541	111	94
542	112	94
543	112	94
544	112	93
545	112	93
546	112	93
547	113	93
548	113	93
549	113	92
550	113	92
551	113	92
552	113	92
553	114	91
554	114	91
555	114	91
556	114	91
557	114	91
558	115	90
559	115	90
560	115	90
561	115	90
562	115	89
563	116	89
564	116	89
565	116	89
566	116	89
567	116	88
568	116	88
569	117	88
570	117	88
571	117	87
572	117	87
573	118	87
574	118	87
575	118	87
576	118	86
577	118	86
578	119	86
579	119	86
580	119	86
581	119	86
582	119	85
583	120	85
584	120	85
585	120	85
586	120	84
587	120	84
588	121	84
589	121	84
590	121	84
591	121	83
592	122	83
593	122	83
594	122	83
595	122	83
596	122	82
597	123	82
598	123	82
599	123	82
600	123	82
601	123	81
602	124	81
603	124	81
604	124	81
605	124	80
606	124	80
607	124	80
608	125	80
609	125	80
610	125	79
611	125	79
612	125	79
613	126	79
614	126	79
615	126	78
616	126	78
617	126	78
618	127	78
619	127	78
620	128	78
621	128	77
622	128	77
623	128	77
624	128	77
625	129	77
626	129	76
627	129	76
628	129	76
629	129	76
630	130	76
631	130	75
632	130	75
633	130	75
634	130	75
635	131	74
636	131	74
637	131	74
638	131	74
639	131	74
640	132	73
641	132	73
642	132	73
643	132	73
644	132	73
645	132	72
646	133	72
647	133	72
648	133	72
649	133	72
650	134	71
651	134	71
652	134	71
653	134	71
654	134	71
655	135	70
656	135	70
657	135	70
658	135	70
659	135	69
660	136	69
661	136	69
662	136	69
663	136	69
664	136	68
665	136	68
666	137	68
667	137	68
668	137	68
669	137	67
670	137	67
671	138	67
672	138	67
673	138	67
674	138	66
675	138	66
676	139	66
677	139	66
678	139	65
679	139	65
680	139	65
681	140	65
682	140	65
683	140	64
684	140	64
685	140	64
686	141	64
687	141	64
688	141	63
689	141	63
690	141	63
691	142	63
692	142	63
693	142	62
694	142	62
695	142	62
696	143	62
697	143	62
698	143	61
699	143	61
700	143	61
701	144	61
702	144	60
703	144	60
704	144	60
705	144	60
706	145	60
707	145	59
708	145	59
709	145	59
710	145	59
711	146	59
712	146	58
713	146	58
714	146	58
715	146	58
716	146	58
717	147	57
718	147	57
719	147	57
720	147	57
721	147	56
722	148	56
723	148	56
724	148	56
725	148	56
726	148	55
727	149	55
728	149	55
729	149	55
730	149	55
731	149	54
732	150	54
733	150	54
734	150	54
735	150	54
736	151	53
737	151	53
738	151	53
739	151	53
740	151	53
741	152	52
742	152	52
743	152	52
744	152	52
745	152	52
746	153	51
747	153	51
748	153	51
749	153	51
750	153	50
751	153	50
752	154	50
753	154	50
754	154	50
755	154	49
756	154	49
757	155	49
758	155	49
759	155	49
760	155	48
761	155	48
762	156	48
763	156	48
764	156	48
765	156	47
766	157	47
767	157	47
768	157	47
769	157	47
770	157	46
771	158	46
772	158	46
773	158	46
774	158	46
775	158	45
776	159	45
777	159	45
778	159	45
779	159	45
780	159	44
781	160	44
782	160	44
783	160	44
784	160	44
785	160	43
786	161	43
787	161	43
788	161	43
789	161	42
790	161	42
791	162	42
792	162	42
793	162	42
794	162	41
795	162	41
796	163	41
797	163	41
798	163	41
799	163	40
800	163	40
801	164	40
802	164	40
803	164	40
804	164	39
805	164	39
806	165	39
807	165	39
808	165	39
809	165	38
810	166	38
811	166	38
812	166	38
813	166	38
814	166	37
815	167	37
816	167	37
817	167	37
818	167	37
819	167	36
820	168	36
821	168	36
822	168	36
823	168	36
824	168	35
825	169	35
826	169	35
827	169	35
828	169	35
829	169	34
830	170	34
831	170	34
832	170	34
833	170	33
834	170	33
835	171	33
836	171	33
837	171	33
838	171	32
839	172	32
840	172	32
841	172	32
842	172	32
843	172	31
844	172	31
845	173	31
846	173	31
847	173	31
848	173	30
849	173	30
850	174	30
851	174	30
852	174	30
853	174	29
854	174	29
855	175	29
856	175	29
857	175	29
858	175	28
859	175	28
860	176	28
861	176	28
862	176	28
863	176	27
864	176	27
865	177	27
866	177	27
867	177	26
868	177	26
869	177	26
870	178	26
871	178	26
872	178	25
873	178	25
874	178	25
875	179	25
876	179	25
877	179	24
878	179	24
879	179	24
880	180	24
881	180	24
882	180	23
883	180	23
884	180	23
885	181	23
886	181	23
887	181	22
888	181	22
889	182	22
890	182	22
891	182	22
892	182	21
893	182	21
894	183	21
895	183	21
896	183	21
897	183	20
898	183	20
899	184	20
900	184	20
901	184	20
902	184	19
903	184	19
904	185	19
905	185	19
906	185	19
907	185	18
908	185	18
909	186	18
910	186	18
911	186	17
912	186	17
913	186	17
914	187	17
915	187	17
916	187	16
917	187	16
918	187	16
919	188	16
920	188	16
921	188	15
922	188	15
923	188	15
924	189	15
925	189	15
926	189	14
927	189	14
928	189	14
929	189	14
930	190	14
931	190	13
932	190	13
933	190	13
934	190	13
935	191	13
936	191	12
937	191	12
938	191	12
939	191	12
940	192	12
941	192	11
942	192	11
943	192	11
944	192	11
945	193	11
946	193	10
947	193	10
948	193	10
949	194	10
950	194	10
951	194	9
952	194	9
953	194	9
954	195	9
955	195	8
956	195	8
957	195	8
958	195	8
959	196	8
960	196	7
961	196	7
962	196	7
963	196	7
964	197	7
965	197	6
966	197	6
967	197	6
968	198	6
969	198	6
970	198	5
971	198	5
972	198	5
973	198	5
974	199	5
975	199	4
976	199	4
977	199	4
978	199	4
979	200	4
980	200	3
981	200	3
982	200	3
983	200	3
984	201	3
985	201	2
986	201	2
987	201	2
988	201	2
989	202	2
990	202	1
991	202	1
992	202	1
993	202	1
994	203	1
995	203	0
996	203	0
997	203	0
998	203	0
999	204	0
